Pathways	Species	Taxonomic-Range
tRNA-uridine 2-thiolation (thermophilic bacteria)	Aquifex aeolicus // Pyrococcus furiosus // Thermus thermophilus	Archaea // Bacteria <bacteria>
sporopollenin precursors biosynthesis	Arabidopsis thaliana	Embryophyta
salicylate degradation I	Pseudomonas nitroreducens // Pseudomonas reinekei // Cutaneotrichosporon cutaneum // Pseudomonas putida // Pseudomonas stutzeri	Fungi // Bacteria <bacteria>
cyclohexane-1-carboxylate degradation (anaerobic)	Rhodopseudomonas palustris	Proteobacteria
homogalacturonan biosynthesis	Glycine max // Nicotiana tabacum // Pisum sativum // Arabidopsis thaliana	Embryophyta
pterostilbene biosynthesis	Vitis vinifera	Viridiplantae
acetate conversion to acetyl-CoA	Cupriavidus necator // Escherichia coli // Haloarcula marismortui // Halobacteria // Halococcus saccharolyticus // Haloferax volcanii // Halorubrum saccharovorum // Homo sapiens // Mammalia // Saccharomyces cerevisiae	Opisthokonta // Archaea // Bacteria <bacteria>
galactitol degradation	Salmonella enterica // Escherichia coli	Proteobacteria
tRNA processing	Escherichia coli	Bacteria <bacteria>
cellulose biosynthesis	Escherichia coli // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria>
spermine and spermidine degradation II	Zea mays	Viridiplantae
glutaryl-CoA degradation	Homo sapiens // Pseudomonas putida // Rhodopseudomonas palustris // Syntrophus aciditrophicus // Syntrophus buswellii // Syntrophus gentianae // Thauera aromatica // Pseudomonas Sp. K172 // Pseudomonas sp. KB 740	Metazoa // Fungi // Bacteria <bacteria>
<I>myo</I>-inositol degradation I	Caulobacter vibrioides // Bacillus subtilis // Corynebacterium glutamicum // Klebsiella aerogenes // Lacticaseibacillus casei // Myxozyma melibiosi // Rhizobium leguminosarum // Sinorhizobium fredii // Sinorhizobium meliloti	Fungi // Bacteria <bacteria>
xylogalacturonan biosynthesis	Arabidopsis thaliana	Viridiplantae
spermine and spermidine degradation I	Bos taurus // Mus musculus // Homo sapiens	Opisthokonta // Apicomplexa
pyruvate decarboxylation to acetyl CoA I	Escherichia coli // Homo sapiens // Pisum sativum	Archaea // Eukaryota // Bacteria <bacteria>
mannitol cycle	Cryptosporidium parvum // Ectocarpus siliculosus // Eimeria // Eimeria tenella // Toxoplasma gondii // Toxoplasma gondii // Toxoplasma gondii	Phaeophyceae // Apicomplexa
tRNA methylation (yeast)	Saccharomyces cerevisiae	Eukaryota
mono-<i>trans</i>, poly-<i>cis</i> decaprenyl phosphate biosynthesis	Mycobacterium tuberculosis // Mycobacterium tuberculosis // Mycolicibacterium smegmatis	Mycobacteriaceae
spermine and spermidine degradation III	Arabidopsis thaliana	Viridiplantae
itaconate degradation	Pseudomonas fluorescens // Pseudomonas sp. B<sub>2</sub>aba	Opisthokonta // Bacteria <bacteria>
D-threitol degradation	Mycolicibacterium smegmatis	Bacteria <bacteria>
di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	Escherichia coli	Bacteria <bacteria>
L-serine degradation	Escherichia coli // Homo sapiens	Fungi // Metazoa // Bacteria <bacteria>
D-glucosaminate degradation	Salmonella enterica	Bacteria <bacteria>
D-sorbitol degradation II	Escherichia coli // Streptococcus mutans // Streptococcus oralis // Streptococcus pasteurianus // Streptococcus salivarius // Streptococcus sanguinis	Bacteria <bacteria> // Viridiplantae
7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	Methanocaldococcus jannaschii // Pyrococcus abyssi // Pyrococcus horikoshii	Euryarchaeota
rubber degradation I	Chondromyces apiculatus // Corallococcus coralloides // Haliangium ochraceum // Myxococcus fulvus // Xanthomonas sp. 35Y	Bacteria <bacteria>
superpathway of acetate utilization and formation	Escherichia coli	Bacteria <bacteria> // Archaea
hexitol fermentation to lactate, formate, ethanol and acetate	Streptococcus equinus // Streptococcus gordonii // Streptococcus mitis // Streptococcus mutans // Streptococcus salivarius // Streptococcus sanguinis	Firmicutes
rubber degradation II	Gordonia polyisoprenivorans // Gordonia westfalica // Rhodococcus rhodochrous // Streptomyces sp. K30 // Xanthomonas sp. 35Y	Bacteria <bacteria>
D-erythronate degradation II	Haemophilus influenzae // Cupriavidus necator	Bacteria <bacteria>
<I>myo</I>-inositol degradation II	Thermotoga maritima	Bacteria <bacteria>
tRNA-uridine 2-thiolation (cytoplasmic)	Homo sapiens // Saccharomyces cerevisiae	Eukaryota
levopimaric acid biosynthesis	Abies grandis // Picea abies // Pinus taeda	Pinidae
3-oxoadipate degradation	Pseudomonas knackmussii // Acinetobacter calcoaceticus // Corynebacterium glutamicum // Pseudomonas putida // Pseudomonas putida	Actinobacteria // Fungi // Proteobacteria
D-altritol and galactitol degradation	Agrobacterium fabrum	Bacteria <bacteria>
superpathway of diterpene resin acids biosynthesis	Abies grandis // Picea abies // Pinus taeda	Pinidae
picolinate degradation	Alcaligenes faecalis	Bacteria <bacteria>
superpathway of hexitol degradation (bacteria)	Escherichia coli	Rhodophyta // Bacteria <bacteria>
tRNA-uridine 2-thiolation and selenation (bacteria)	Escherichia coli	Bacteria <bacteria>
abietic acid biosynthesis	Pinus contorta // Pinus taeda // Picea abies // Abies grandis	Pinidae
2-hydroxypenta-2,4-dienoate degradation	Acidovorax sp. JS42 // Bordetella sp. 10d // Burkholderia cepacia // Comamonas sp. JS765 // Escherichia coli // Pseudomonas putida // Pseudomonas putida // Pseudomonas sp. CF600 // Ralstonia pickettii // Pseudomonas putida	Proteobacteria
D-sorbitol degradation I	Aspergillus niger // Bacillus subtilis // Gluconobacter // Malus domestica // Pyrus pyrifolia // Trichoderma reesei // Arabidopsis thaliana	Fungi // Bacteria <bacteria> // rosids
hypusine biosynthesis	Cryptosporidium parvum // Arabidopsis // Homo sapiens // Nicotiana tabacum // Solanum lycopersicum	Eukaryota
palustric acid biosynthesis	Picea abies // Pinus taeda // Abies grandis	Pinidae
glutarate degradation	Pseudomonas putida	Bacteria <bacteria>
<i>myo</i>-, <i>chiro</i>- and <i>scyllo</i>-inositol degradation	Bacillus subtilis	Bacteria <bacteria>
<i>N</i><sup>1</sup>-methyl-<i>N</i><sup>3</sup>-aminocarboxypropyl-pseudouridine-modified rRNA biosynthesis	Homo sapiens // Saccharomyces cerevisiae	Eukaryota // Archaea
diphthamide biosynthesis II (eukaryotes)	Homo sapiens // Saccharomyces cerevisiae	Eukaryota
isopimaric acid biosynthesis	Pinus taeda // Picea abies // Abies grandis	Pinidae
2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	Burkholderia cenocepacia // Burkholderia terrae // Pseudomonas fluorescens	Bacteria <bacteria>
L-threitol degradation	Mycolicibacterium smegmatis	Bacteria <bacteria>
diphthamide biosynthesis I (archaea)	Pyrococcus horikoshii	Archaea
neoabietic acid biosynthesis	Abies grandis // Pinus taeda // Picea abies	Pinidae
citrate degradation	Escherichia coli // Klebsiella aerogenes // Klebsiella pneumoniae // Rubrivivax gelatinosus	Bacteria <bacteria>
erythritol degradation II	Mycolicibacterium smegmatis	Bacteria <bacteria>
archaeosine biosynthesis I	Haloferax volcanii // Hyperthermus butylicus // Ignicoccus hospitalis // Methanocaldococcus jannaschii // Pyrobaculum calidifontis // Saccharolobus solfataricus // Sulfurisphaera tokodaii	Archaea
dehydroabietic acid biosynthesis	Pinus taeda // Picea abies // Abies grandis	Pinidae
D-erythronate degradation I	Heliomicrobium modesticaldum	Bacteria <bacteria>
erythritol degradation I	Brucella abortus // Brucella melitensis // Brucella anthropi // Rhizobium leguminosarum // Sinorhizobium meliloti	Hyphomicrobiales
PRPP biosynthesis	Escherichia coli // Homo sapiens // Arabidopsis thaliana	Eukaryota // Archaea // Bacteria <bacteria>
superpathway of <i>N</i>-acetylneuraminate degradation	Clostridium perfringens // Abiotrophia defectiva // Clostridium perfringens // Escherichia coli // Streptococcus anginosus // Streptococcus constellatus // Streptococcus gordonii // Streptococcus intermedius // Streptococcus mitis // Streptococcus oralis // Streptococcus sanguinis // Clostridium perfringens	Bacteria <bacteria>
phosphatidylinositol biosynthesis I (bacteria)	Corynebacterium glutamicum // Mycolicibacterium smegmatis // Mycobacterium tuberculosis // Mycobacterium tuberculosis // Cutibacterium acnes // Rhodococcus equi // Streptomyces avermitilis	Bacteria <bacteria>
N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	Saccharomyces cerevisiae // Escherichia coli	Eukaryota // Bacteria <bacteria> // Archaea
reductive acetyl coenzyme A pathway II (autotrophic methanogens)	Archaeoglobus fulgidus // Methanosarcina thermophila // Methanothermobacter thermautotrophicus	Methanopyri // Methanomicrobia // Methanococci // Methanobacteria // Archaea
4-oxopentanoate degradation	Pseudomonas putida // Rattus norvegicus	Metazoa // Bacteria <bacteria>
phosphatidylinositol biosynthesis II (eukaryotes)	Homo sapiens // Saccharomyces cerevisiae // Arabidopsis thaliana	Eukaryota
polybrominated phenols biosynthesis	Hormoscilla spongeliae // Marinomonas mediterranea // Pseudoalteromonas luteoviolacea // Pseudoalteromonas phenolica // Thioalkalivibrio thiocyanoxidans	Bacteria <bacteria>
3-hydroxypropanoate cycle	Chloroflexus aggregans // Chloroflexus aurantiacus // Roseiflexus castenholzii // Roseiflexus sp. RS-1	Chloroflexi <Chloroflexi>
mevalonate degradation	Pseudomonas mevalonii // Actinomycete S4	Bacteria <bacteria>
methylwyosine biosynthesis	Pyrobaculum calidifontis // Pyrococcus abyssi // Pyrococcus horikoshii	Archaea
polybrominated biphenyls and diphenyl ethers biosynthesis	Marinomonas mediterranea // Pseudoalteromonas luteoviolacea // Pseudoalteromonas phenolica	Bacteria <bacteria>
superpathway of the 3-hydroxypropanoate cycle	Chloroflexus aurantiacus	Chloroflexi <Chloroflexi>
D-malate degradation	Escherichia coli	Bacteria <bacteria> // Archaea
spongiadioxin C biosynthesis	Hormoscilla spongeliae	Bacteria <bacteria>
reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)	Acetitomaculum ruminis // Acetobacterium carbinolicum // Acetobacterium woodii // Blautia producta // Clostridium formicaceticum // Eubacterium limosum // Moorella thermoacetica // Moorella thermoautotrophica // Sporomusa malonica // Sporomusa termitida // Syntrophococcus sucromutans // [Butyribacterium] methylotrophicum	Archaea // Bacteria <bacteria>
2,4,6-trinitrophenol and 2,4-dinitrophenol degradation	Rhodococcus erythropolis // Nocardioides simplex // Nocardioides sp. CB 22-2 // Rhodococcus opacus	Bacteria <bacteria>
tRNA-uridine 2-thiolation (yeast mitochondria)	Saccharomyces cerevisiae	Fungi
brominated pyrroles biosynthesis	Marinomonas mediterranea // Prochloron didemni // Pseudoalteromonas luteoviolacea // Pseudoalteromonas phenolica // Thioalkalivibrio thiocyanoxidans	Bacteria <bacteria>
3-hydroxypropanoate/4-hydroxybutanate cycle	Pyrobaculum neutrophilum // Metallosphaera sedula // Sulfurisphaera tokodaii	Crenarchaeota <Crenarchaeota>
4-nitrophenol degradation I	Burkholderia cepacia // Moraxella // Pseudomonas sp. 1-7 // Pseudomonas sp. A3 // Pseudomonas sp. NyZ402 // Pseudomonas sp. WBC-3 // Pseudomonas putida // Pseudomonas putida // Pseudomonas sp. ENV2030	Proteobacteria
polybrominated dihydroxylated diphenyl ethers biosynthesis	Marinomonas mediterranea	Bacteria <bacteria>
reductive glycine pathway of autotrophic CO<sub>2</sub> fixation	Clostridium drakei // Desulfovibrio desulfuricans	Bacteria <bacteria>
4-nitrophenol degradation II	Arthrobacter sp. // Lysinibacillus sphaericus // Pseudomonas sp. 1-7 // Rhodococcus opacus // Rhodococcus sp. PN1 // Serratia sp. DS001 // Sphingobium chlorophenolicum // Sphingobium sp. UG30 // Rhodococcus opacus	Bacteria <bacteria>
archaeosine biosynthesis II	Aeropyrum pernix // Pyrobaculum neutrophilum // Pyrobaculum islandicum // Pyrobaculum arsenaticum // Pyrobaculum aerophilum // Pyrobaculum calidifontis	Crenarchaeota <Crenarchaeota>
pyoluteorin biosynthesis	Pseudomonas protegens	Bacteria <bacteria>
incomplete reductive TCA cycle	Methanococcus maripaludis // Methanospirillum hungatei // Methanothermobacter thermautotrophicus	Methanomicrobia // Methanococci // Methanobacteria
ppGpp metabolism	Escherichia coli	Bacteria <bacteria>
superpathway of polybrominated aromatic compound biosynthesis	Marinomonas mediterranea // Pseudoalteromonas luteoviolacea // Pseudoalteromonas phenolica	Bacteria <bacteria>
reductive TCA cycle I	Aquifex pyrophilus // Candidatus Arcobacter sulfidicus // Chlorobaculum tepidum // Chlorobaculum thiosulfatiphilum // Chlorobium limicola // Desulfobacter hydrogenophilus // Pyrobaculum islandicum // Pyrobaculum neutrophilum // Sulfurimonas denitrificans // Thermoproteus tenax	Chlamydomonas // Proteobacteria // Archaea // Bacteroidetes/Chlorobi group // Aquificae <phylum>
Rapoport-Luebering glycolytic shunt	Homo sapiens // Dictyostelium discoideum	Aves // Mammalia // Dictyostelia
menthol biosynthesis	Mentha spicata // Mentha x piperita	Lamiaceae
5-(methoxycarbonylmethoxy)uridine biosynthesis	Escherichia coli	Bacteria <bacteria>
pyrrolomycin biosynthesis	Streptomyces vitaminophilus	Bacteria <bacteria>
TCA cycle V (2-oxoglutarate synthase)	Desulfurella acetivorans // Halobacterium salinarum // Hippea maritima // Mycobacterium tuberculosis // Mycobacterium tuberculosis // Mycobacterium tuberculosis variant bovis // Mycolicibacterium smegmatis // Pyrobaculum islandicum // Thermosulfidibacter takaii	Aquificae <phylum> // Archaea // Cyanobacteria // Euglenida // Proteobacteria // Actinobacteria
fructose 2,6-bisphosphate biosynthesis	Arabidopsis thaliana // Homo sapiens // Saccharomyces cerevisiae	Eukaryota
geraniol biosynthesis (cytosol)	Rosa hybrid cultivar	Viridiplantae
peptidoglycan cross-bridge biosynthesis III (<i>Enterococcus faecalis</i>)	Enterococcus faecalis // Streptococcus pneumoniae	Lactobacillales
reductive TCA cycle II	Aquifex aeolicus // Hydrogenobacter thermophilus	Aquificae <phylum>
creatine phosphate biosynthesis	Oryctolagus cuniculus // Gallus gallus // Homo sapiens	Vertebrata <vertebrates>
geraniol and geranial biosynthesis	Cinnamomum tenuipile // Ocimum basilicum // Perilla frutescens // Perilla frutescens // Zea mays	Viridiplantae
mRNA capping I	Homo sapiens // Saccharomyces cerevisiae // Vaccinia virus	Viruses // Metazoa // Fungi
peptidoglycan cross-bridge biosynthesis II (<i>E. faecium</i>)	Enterococcus faecium // Lacticaseibacillus casei // Lactococcus lactis	Lactobacillales
superpathway of pyrimidine ribonucleosides salvage	Escherichia coli // Saccharomyces cerevisiae // Arabidopsis thaliana	Archaea // Fungi // Bacteria <bacteria> // Viridiplantae
carnosine biosynthesis	Homo sapiens	Mammalia
perillyl aldehyde biosynthesis	Mentha spicata // Mentha x gracilis // Mentha x piperita // Perilla frutescens	Lamiaceae
peptidoglycan cross-bridge biosynthesis I (<i>S. aureus</i>)	Staphylococcus aureus	Staphylococcus
superpathway of pyrimidine deoxyribonucleoside salvage	Bacillus anthracis // Bacillus subtilis // Homo sapiens // Methanocaldococcus jannaschii // Mycobacterium tuberculosis // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria> // Archaea
L-carnitine biosynthesis	Homo sapiens // Mus musculus // Neurospora crassa // Rattus norvegicus	Eukaryota
trichome monoterpenes biosynthesis	Solanum lycopersicum	Solanaceae
tRNA-uridine 2-thiolation (mammalian mitochondria)	Homo sapiens	Metazoa // Eukaryota
peptidoglycan cross-bridge biosynthesis IV (<i>Weissella viridescens</i>)	Weissella viridescens	Lactobacillales
pyrimidine deoxyribonucleotides biosynthesis from CTP	Homo sapiens // Saccharomyces cerevisiae // Streptococcus mutans	Fungi // Metazoa // Firmicutes // Actinobacteria
lovastatin biosynthesis	Aspergillus terreus	Fungi
linalool biosynthesis I	Artemisia annua	Eukaryota
pyrimidine nucleobases salvage I	Escherichia coli // Saccharomyces cerevisiae // Arabidopsis thaliana	Fungi // Viridiplantae // Archaea // Bacteria <bacteria>
monoterpene biosynthesis	Abies grandis // Magnolia grandiflora // Picea abies // Solanum lycopersicum // Arabidopsis thaliana	Tracheophyta
queuosine biosynthesis III (queuosine salvage)	Clostridioides difficile // Clostridium perfringens // Lachnospiraceae bacterium // [Ruminococcus] gnavus	Bacteria <bacteria>
heptadecane biosynthesis	Trichormus variabilis // Crocosphaera subtropica // Cyanothece sp. PCC 7425 // Gloeobacter violaceus // Nostoc punctiforme // Prochlorococcus marinus // Prochlorococcus marinus // Synechococcus elongatus // Synechococcus elongatus // Synechocystis sp. PCC 6803	Viridiplantae // Fungi // Bacteria <bacteria>
pyrimidine deoxyribonucleosides salvage	Bacillus anthracis // Bacillus subtilis // Glycine max // Homo sapiens // Mycobacterium tuberculosis // Pisum sativum // Arabidopsis thaliana	Amoebozoa // Metazoa // Viridiplantae // Bacteria <bacteria> // Archaea
geranyl &beta;-primeveroside biosynthesis	Camellia sinensis	Theaceae
alkane biosynthesis II	Botryococcus braunii // Pisum sativum	Fungi // Viridiplantae
superpathway of pyrimidine nucleobases salvage	Escherichia coli // Saccharomyces cerevisiae // Arabidopsis thaliana	Fungi // Viridiplantae // Bacteria <bacteria> // Archaea
bornyl diphosphate biosynthesis	Salvia officinalis	Lamiales
queuosine biosynthesis II (queuine salvage)	Chlamydia trachomatis // Homo sapiens	Viridiplantae // Metazoa // Bacteria <bacteria>
alkane biosynthesis I	Crocosphaera subtropica // Cyanothece sp. PCC 7425 // Gloeobacter violaceus // Nostoc punctiforme // Prochlorococcus marinus // Prochlorococcus marinus // Synechococcus elongatus // Synechococcus elongatus // Synechocystis sp. PCC 6803 // Trichormus variabilis	Cyanobacteria
